time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/learning_rate,train/clip_fraction,train/n_updates,train/loss,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/approx_kl,eval/mean_reward,eval/mean_ep_length
666,3,2048,38.76923076923077,11.887259499999999,1,,,,,,,,,,,,
611,6,4096,38.58,11.176119070000002,2,-0.0045653581619262695,0.0003,0.088623046875,10,24.239717483520508,52.6542590200901,-1.927707939222455,-0.01653161088033812,0.2,0.011207383,,
596,10,6144,38.16,11.244829549999999,3,0.3460475206375122,0.0003,0.049365234375,20,32.882591247558594,47.519510513544084,-1.9473876342177392,-0.014706913937698119,0.2,0.00891423,,
588,13,8192,37.23,14.79745613,4,0.524649053812027,0.0003,0.059228515625,30,26.77373695373535,49.98504322171211,-1.9211511429399253,-0.017719659231079276,0.2,0.008306362,,
,,10000,,,,0.44296813011169434,0.0003,0.09794921875,40,8.590706825256348,31.964989879727362,-1.89136468693614,-0.02189218269777484,0.2,0.010561876,23.096306610107423,36.0
573,17,10240,36.49,19.07754843,5,,,,,,,,,,,,
572,21,12288,37.63,22.815987309999997,6,0.626122236251831,0.0003,0.082666015625,50,8.633606910705566,21.89178497195244,-1.9007482942193747,-0.017212842128355988,0.2,0.00988005,,
570,25,14336,38.34,21.848777650000002,7,0.5518734753131866,0.0003,0.064453125,60,4.479642391204834,24.638511636853217,-1.8424469228833913,-0.016566462038463216,0.2,0.009585304,,
570,28,16384,38.43,22.77310147,8,0.6122272610664368,0.0003,0.066064453125,70,10.870221138000488,25.78075115084648,-1.8402809698134661,-0.017480096500366925,0.2,0.00941526,,
570,32,18432,37.56,22.79359438,9,0.5857391655445099,0.0003,0.1064453125,80,6.212662220001221,20.970752692222597,-1.7642579358071089,-0.02167931795556797,0.2,0.010375956,,
,,20000,,,,0.5088983774185181,0.0003,0.095263671875,90,5.030792236328125,19.11559529155493,-1.7643330346792936,-0.017811589978373378,0.2,0.0089314375,29.352380752563477,40.8
565,36,20480,37.66,26.86923871,10,,,,,,,,,,,,
564,39,22528,37.27,28.502044669999997,11,0.6523016393184662,0.0003,0.139892578125,100,4.750014781951904,15.228421737253665,-1.732543982565403,-0.02452077582565835,0.2,0.010992177,,
559,43,24576,37.32,30.443885920000003,12,0.4941626191139221,0.0003,0.100634765625,110,7.6285481452941895,20.615146219730377,-1.69236368983984,-0.022399497183505444,0.2,0.009742364,,
480,55,26624,38.22,33.03929153,13,0.5224547386169434,0.0003,0.1400390625,120,3.074267625808716,9.373823048174382,-1.6671909920871257,-0.025760889759112615,0.2,0.011654124,,
409,69,28672,38.73,32.456911579999996,14,0.6031019687652588,0.0003,0.118701171875,130,1.6445437669754028,7.3784426033496855,-1.6378637354820966,-0.020332960991072468,0.2,0.010817421,,
,,30000,,,,0.5939995050430298,0.0003,0.096728515625,140,3.499192476272583,12.80351881980896,-1.6134256258606912,-0.022430228559824173,0.2,0.009396911,33.06304168701172,37.2
369,83,30720,39.04,33.38325029,15,,,,,,,,,,,,
324,101,32768,37.99,34.951343040000005,16,0.5946862697601318,0.0003,0.11767578125,150,4.019313335418701,10.816286878287793,-1.6348800197243691,-0.023936578331631608,0.2,0.010686963,,
302,115,34816,36.93,35.78704791,17,0.5974488854408264,0.0003,0.117529296875,160,1.8944178819656372,7.4401608116924765,-1.5543476764112711,-0.02313835528184427,0.2,0.010570748,,
288,127,36864,37.47,36.63695726,18,0.6375225186347961,0.0003,0.13876953125,170,2.6956825256347656,7.572211280465126,-1.545175889506936,-0.02438068811679841,0.2,0.011613489,,
273,142,38912,38.58,37.724187380000004,19,0.6547157764434814,0.0003,0.136572265625,180,1.1733958721160889,4.60775040909648,-1.5521097462624311,-0.02402887401767657,0.2,0.0122314915,,
,,40000,,,,0.7601938396692276,0.0003,0.133837890625,190,1.8125380277633667,4.587963510304689,-1.5054124016314745,-0.023224295652471482,0.2,0.012260659,39.953137969970705,37.8
260,157,40960,37.99,39.01873144,20,,,,,,,,,,,,
255,168,43008,37.6,38.42712999,21,0.7370273172855377,0.0003,0.146533203125,200,1.5508044958114624,3.9341253489255905,-1.4654508750885724,-0.024225475038110744,0.2,0.012566322,,
246,182,45056,38.13,38.28439403,22,0.7071535587310791,0.0003,0.1212890625,210,1.6550066471099854,7.826512943953276,-1.4900366321206093,-0.02488008187501691,0.2,0.012073074,,
238,197,47104,37.65,39.634886720000004,23,0.7257688343524933,0.0003,0.14560546875,220,1.5669164657592773,4.9533597432076935,-1.4471891742199658,-0.02417942234169459,0.2,0.012617655,,
228,214,49152,37.29,40.70898429,24,0.7167510390281677,0.0003,0.1677734375,230,1.1554019451141357,4.435880929604172,-1.4019422933459282,-0.027189004782121627,0.2,0.0139301205,,
,,50000,,,,0.7386451661586761,0.0003,0.171484375,240,0.915111780166626,3.389651532098651,-1.4022334650158883,-0.026418598196687525,0.2,0.0132017005,43.1625,38.4
222,229,51200,38.32,41.16094783,25,,,,,,,,,,,,
217,244,53248,38.38,41.154862720000004,26,0.7749591767787933,0.0003,0.139306640625,250,1.0938466787338257,2.9622160529717805,-1.3776146080344915,-0.02524400108086411,0.2,0.012665026,,
213,259,55296,38.94,42.11957810999999,27,0.7361750304698944,0.0003,0.1294921875,260,1.0422680377960205,3.7396704103797673,-1.398647716268897,-0.026312099205097184,0.2,0.012494969,,
