time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/learning_rate,train/clip_fraction,train/n_updates,train/loss,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/approx_kl,eval/mean_reward,eval/mean_ep_length
810,2,2048,144.92857142857142,7.278466785714286,1,,,,,,,,,,,,
738,5,4096,155.6153846153846,4.219798307692307,2,0.0193328857421875,0.0003,0.071533203125,10,1.209797739982605,15.577353825606405,-3.212967067211866,-0.013182226774188167,0.2,0.009073522,,
709,8,6144,151.225,6.771884850000001,3,0.5362866818904877,0.0003,0.076708984375,20,1.9677791595458984,9.631054796278477,-3.201038819551468,-0.014602952062705298,0.2,0.011049544,,
692,11,8192,150.57407407407408,8.590206277777778,4,0.5497463941574097,0.0003,0.042431640625,30,2.2327442169189453,8.790203278884292,-3.1888504713773727,-0.011278577867051354,0.2,0.008691672,,
,,10000,,,,0.6848943829536438,0.0003,0.03720703125,40,1.492859125137329,5.383249654993415,-3.177153071016073,-0.012844512009905884,0.2,0.0074416744,15.583246040344239,146.2
650,15,10240,149.47058823529412,7.3807750147058835,5,,,,,,,,,,,,
654,18,12288,151.50617283950618,9.197912913580247,6,0.8052476644515991,0.0003,0.084326171875,50,0.6535286903381348,2.985912177152932,-3.155690225958824,-0.016421082257875242,0.2,0.010734219,,
659,21,14336,156.85714285714286,9.641123637362638,7,0.761891320347786,0.0003,0.080322265625,60,1.821913242340088,4.868704681098461,-3.145851545035839,-0.014987571687379386,0.2,0.01038084,,
658,24,16384,158.63,9.722770259999999,8,0.881959967315197,0.0003,0.085205078125,70,0.644197940826416,2.5376874410547314,-3.145499150454998,-0.01431050933606457,0.2,0.010444275,,
660,27,18432,155.62,10.888552210000002,9,0.8560050129890442,0.0003,0.089111328125,80,3.1281626224517822,4.613640075922012,-3.139454422146082,-0.018414773728,0.2,0.009539666,,
,,20000,,,,0.7542255073785782,0.0003,0.036572265625,90,1.059321641921997,4.579205506108702,-3.139823090285063,-0.012759447103599086,0.2,0.007882298,13.691274261474609,157.2
638,32,20480,154.92,12.5907627,10,,,,,,,,,,,,
642,35,22528,156.38,12.605911129999999,11,0.8605422675609589,0.0003,0.084033203125,100,0.37506455183029175,2.0016979375854134,-3.1226475164294243,-0.019386639777803794,0.2,0.010075025,,
