time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/learning_rate,train/clip_fraction,train/n_updates,train/loss,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/approx_kl,eval/mean_reward,eval/mean_ep_length
910,2,2048,157.66666666666666,8.667725416666665,1,,,,,,,,,,,,
798,5,4096,162.4,11.724148559999996,2,-0.01686573028564453,0.0003,0.054248046875,10,8.085335731506348,16.028095585107803,-3.212673765420914,-0.013059424664243124,0.2,0.009316156,,
760,8,6144,159.42105263157896,6.8752280789473685,3,0.2564944624900818,0.0003,0.108056640625,20,0.8294416666030884,6.497600526921451,-3.2000946827232837,-0.014827089144091588,0.2,0.0112583535,,
754,10,8192,158.45098039215685,6.017867372549019,4,0.3345887064933777,0.0003,0.063671875,30,1.7834727764129639,10.260184731520713,-3.1840563252568246,-0.012334122834727169,0.2,0.00931274,,
,,10000,,,,0.6771288514137268,0.0003,0.0806640625,40,1.0714151859283447,3.725683876033872,-3.172006482630968,-0.014143617550871568,0.2,0.010480534,4.053821468353272,127.0
714,14,10240,161.0952380952381,7.671598587301587,5,,,,,,,,,,,,
714,17,12288,166.05405405405406,7.770368351351349,6,0.8284189403057098,0.0003,0.095263671875,50,0.3691139221191406,2.973437393922359,-3.1757673136889935,-0.01645570673281327,0.2,0.010747311,,
713,20,14336,165.5,7.222036581395349,7,0.7142614126205444,0.0003,0.05087890625,60,0.6136224269866943,3.2045502377673984,-3.1486754529178143,-0.012647323231067275,0.2,0.008066326,,
714,22,16384,166.9278350515464,6.783248360824743,8,0.8327474147081375,0.0003,0.083154296875,70,2.6865923404693604,2.542701381444931,-3.1351203970611095,-0.01822673622373259,0.2,0.008593405,,
714,25,18432,166.87,6.4788254400000005,9,0.8733193576335907,0.0003,0.06298828125,80,1.5956969261169434,2.972917633969337,-3.1061850525438786,-0.01397373494837666,0.2,0.009335358,,
