time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/entropy_loss,train/loss,train/n_updates,train/clip_fraction,train/explained_variance,train/approx_kl,train/value_loss,eval/mean_reward,eval/mean_ep_length
2,-61.605796033333334,1,2048,66.9,695,,,,,,,,,,,,
6,-62.24618508333333,2,4096,67.45,644,-0.016739452168985737,0.0003,0.2,-2.0630020540207625,189.15701293945312,10,0.134423828125,0.003623366355895996,0.013653144,352.88791117668154,,
9,-59.86576859340659,3,6144,66.92307692307692,633,-0.012971666715748143,0.0003,0.2,-2.0344486773014068,148.8651580810547,20,0.102685546875,0.34096425771713257,0.011725672,294.0069110155106,,
13,-60.47919342,4,8192,66.69,627,-0.011793488352850545,0.0003,0.2,-2.02294493354857,87.82548522949219,30,0.105859375,0.3914123773574829,0.01178064,172.50110641121864,,
,,,10000,,,-0.009439709602156654,0.0003,0.2,-2.002251486480236,127.13739776611328,40,0.07138671875,0.40693700313568115,0.008446377,183.52546847462654,-49.717261505126956,66.0
16,-57.222832079999996,5,10240,66.1,604,,,,,,,,,,,,
20,-56.85590994999998,6,12288,67.0,603,-0.014117947866907343,0.0003,0.2,-1.9954060781747103,21.432363510131836,50,0.115771484375,0.501196026802063,0.010245344,101.52870430648326,,
23,-50.85049397000002,7,14336,66.52,604,-0.012198878124763723,0.0003,0.2,-1.973465658351779,22.230531692504883,60,0.10849609375,0.6388124227523804,0.010362081,43.49176201820374,,
27,-50.97546401000002,8,16384,67.36,604,-0.012716880258085438,0.0003,0.2,-1.971992702409625,4.034602642059326,70,0.09697265625,0.7335836887359619,0.009441549,19.50074596852064,,
30,-48.547751690000005,9,18432,67.8,603,-0.010685371534782462,0.0003,0.2,-1.965604143962264,28.407020568847656,80,0.049755859375,0.6181133389472961,0.0074017113,42.19607231914997,,
,,,20000,,,-0.00743398850900121,0.0003,0.2,-1.9716582801192999,10.032054901123047,90,0.037744140625,0.6975592374801636,0.0065664845,27.74294038116932,-42.87116527557373,64.8
34,-47.846662349999995,10,20480,68.08,594,,,,,,,,,,,,
