time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/value_loss,train/n_updates,train/learning_rate,train/clip_range,train/loss,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,eval/mean_reward,eval/mean_ep_length
2,2048,1,265.14285714285717,819,-57.130686142857144,,,,,,,,,,,,
5,4096,2,243.8125,756,-63.7821239375,-3.2113236129283904,81.13110255375504,10,0.0003,0.2,38.945499420166016,0.010680735,-0.012463661217771005,0.09052734375,-0.04836881160736084,,
8,6144,3,243.45833333333334,733,-66.83793979166667,-3.1902880311012267,130.60152563303708,20,0.0003,0.2,55.6696662902832,0.017058842,-0.019525867702031973,0.133740234375,0.22219771146774292,,
11,8192,4,249.625,731,-61.22693784375,-3.1710677213966845,129.27450911253692,30,0.0003,0.2,16.49675941467285,0.014001114,-0.016464248054398924,0.10849609375,0.38770151138305664,,
,10000,,,,,-3.1735651858150957,27.31501156911254,40,0.0003,0.2,6.8772358894348145,0.009884836,-0.006877232623810414,0.05703125,0.5453025102615356,-79.23860931396484,309.4
16,10240,5,260.0,639,-61.4521737631579,,,,,,,,,,,,
18,12288,6,271.77777777777777,653,-61.587431266666684,-3.128408432751894,54.97735128030181,50,0.0003,0.2,39.292320251464844,0.011559875,-0.009327715610561426,0.12275390625,0.607146680355072,,
21,14336,7,281.01960784313724,662,-60.189383333333325,-3.1068562157452106,40.256815745309,60,0.0003,0.2,22.755046844482422,0.009931104,-0.01007289682602277,0.082958984375,0.6697285771369934,,
24,16384,8,286.859649122807,666,-59.53876149122807,-3.0739490702748298,17.946265271678566,70,0.0003,0.2,6.7633538246154785,0.011742702,-0.008893042973068078,0.091943359375,0.7904961109161377,,
27,18432,9,291.33870967741933,672,-59.94519651612904,-3.0683497242629527,32.45515173710883,80,0.0003,0.2,20.43037986755371,0.008175129,-0.008408381271146936,0.06708984375,0.722332239151001,,
,20000,,,,,-3.007803608477116,34.11352177783847,90,0.0003,0.2,18.43778419494629,0.012831679,-0.011088888989615953,0.1361328125,0.7287969589233398,-60.04352493286133,646.4
34,20480,10,303.5223880597015,599,-59.12342437313433,,,,,,,,,,,,
37,22528,11,316.87142857142857,608,-59.6206935,-2.9826445423066614,13.31177932024002,100,0.0003,0.2,9.347455978393555,0.011747859,-0.013513747694378252,0.096337890625,0.8267495632171631,,
39,24576,12,332.5,615,-61.03213791666667,-2.908887466788292,38.67338151782751,110,0.0003,0.2,33.306278228759766,0.009983593,-0.008292313459969591,0.080517578125,0.6347265243530273,,
148,26624,13,350.36486486486484,179,-61.224641270270276,-2.816591501235962,75.402130587399,120,0.0003,0.2,55.90061569213867,0.013008121,-0.008301705949997995,0.1111328125,0.5726605653762817,,
151,28672,14,366.94805194805195,189,-61.05950372727273,-2.872179589420557,41.02464989628643,130,0.0003,0.2,61.984397888183594,0.010391531,-0.005611738855077419,0.0513671875,0.2622033357620239,,
,30000,,,,,-2.8990832440555097,37.35573256779462,140,0.0003,0.2,2.895673990249634,0.010971079,-0.007111078488378553,0.069091796875,0.43597257137298584,-85.63451080322265,844.8
159,30720,15,375.06410256410254,192,-61.55874085897436,,,,,,,,,,,,
162,32768,16,402.7037037037037,201,-60.97668579012346,-2.851927265524864,42.91909562535584,150,0.0003,0.2,6.223198413848877,0.0118565615,-0.005750527034979314,0.089404296875,0.3245673179626465,,
165,34816,17,416.86746987951807,210,-61.60653395180723,-2.9004335828125476,41.90934169460088,160,0.0003,0.2,5.425657272338867,0.011925782,-0.008271204138509347,0.1263671875,0.2628405690193176,,
168,36864,18,429.11764705882354,219,-61.99119304705883,-2.8187473244965076,45.976128766685726,170,0.0003,0.2,21.6793155670166,0.010906756,-0.003940255977067863,0.039453125,0.593183696269989,,
171,38912,19,442.2413793103448,227,-62.864958724137935,-2.853103269636631,42.55000433456153,180,0.0003,0.2,2.3637044429779053,0.008266343,-0.004944433805940207,0.0875,0.3265712261199951,,
,40000,,,,,-2.7714896865189074,84.4129461273551,190,0.0003,0.2,90.83241271972656,0.013444546,-0.00677863051823806,0.156005859375,0.378875195980072,-60.41235198974609,820.8
179,40960,20,448.57954545454544,228,-63.28694782954546,,,,,,,,,,,,
181,43008,21,472.5274725274725,236,-64.49726823076924,-2.6737905740737915,36.20382770653814,200,0.0003,0.2,3.458005428314209,0.011225002,-0.007833827309150365,0.08671875,0.6404706239700317,,
184,45056,22,480.40860215053766,243,-64.48590224731183,-2.758939948678017,102.85089878123253,210,0.0003,0.2,11.52280330657959,0.008642217,-0.0034255139020388015,0.22255859375,0.2826564908027649,,
