time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/entropy_loss,train/loss,train/n_updates,train/clip_fraction,train/explained_variance,train/approx_kl,train/value_loss,eval/mean_reward,eval/mean_ep_length
2,-69.24828834482759,1,2048,69.10344827586206,760,,,,,,,,,,,,
5,-66.30347905084746,2,4096,68.38983050847457,687,-0.01625711499364115,0.0003,0.2,-2.058563342317939,173.90567016601562,10,0.108349609375,-0.0004690885543823242,0.013591083,452.8212587594986,,
9,-63.22039793333333,3,6144,68.03333333333333,668,-0.010639386354887393,0.0003,0.2,-2.0232623782008887,112.81298828125,20,0.075439453125,0.3274043798446655,0.009696767,305.09219381809237,,
12,-60.645862400000006,4,8192,68.4,664,-0.010385018363012932,0.0003,0.2,-2.0172326315194367,169.8191680908203,30,0.078857421875,0.4013046622276306,0.0094594415,190.44585952758788,,
,,,10000,,,-0.011361903086071833,0.0003,0.2,-2.0121153883635996,39.61103820800781,40,0.113134765625,0.48669761419296265,0.009825761,116.5536592900753,-50.57486686706543,65.4
15,-55.76669511,5,10240,67.54,643,,,,,,,,,,,,
19,-52.823925179999996,6,12288,67.87,635,-0.014523055213794578,0.0003,0.2,-1.9873773641884327,24.660179138183594,50,0.130712890625,0.5970380306243896,0.013702037,65.04638614654542,,
22,-48.95838361,7,14336,67.33,638,-0.009531222622899804,0.0003,0.2,-1.963535363599658,20.086992263793945,60,0.0708984375,0.4856368899345398,0.0081266435,59.23848797082901,,
25,-45.102772449999996,8,16384,68.02,640,-0.00773946407425683,0.0003,0.2,-1.9152850929647685,34.64860534667969,70,0.033154296875,0.5327645540237427,0.008252431,60.111783385276794,,
28,-40.86941088,9,18432,67.23,642,-0.010266870986379217,0.0003,0.2,-1.9023704133927821,6.923535346984863,80,0.064013671875,0.6854941844940186,0.01000286,19.711865992844103,,
,,,20000,,,-0.006727890815818682,0.0003,0.2,-1.8538373120129108,23.82359504699707,90,0.020361328125,0.5964336395263672,0.006649807,39.74112927466631,-47.96105804443359,61.2
32,-37.057468979999996,10,20480,67.09,635,,,,,,,,,,,,
35,-33.0173798,11,22528,66.88,638,-0.013069507087493548,0.0003,0.2,-1.8201303284615278,9.749772071838379,100,0.07314453125,0.7111018896102905,0.009658717,16.509465765953063,,
38,-28.74559151,12,24576,66.82,639,-0.00956015130141168,0.0003,0.2,-1.7746642049402,9.57827091217041,110,0.03583984375,0.6143321394920349,0.007831029,24.64740506261587,,
41,-26.661784650000005,13,26624,67.6,640,-0.010149004234699532,0.0003,0.2,-1.7644415132701396,8.624093055725098,120,0.051123046875,0.6525275707244873,0.008829813,15.885187907516956,,
44,-22.84809784,14,28672,67.62,641,-0.007740865700179711,0.0003,0.2,-1.7014225680381059,30.247655868530273,130,0.05390625,0.6462255716323853,0.007910959,21.142731660604476,,
,,,30000,,,-0.011202475802565458,0.0003,0.2,-1.661241277679801,2.1112887859344482,140,0.057373046875,0.6090055704116821,0.00853283,8.264673183858395,-23.99048171043396,69.0
48,-19.962711860000002,15,30720,68.23,636,,,,,,,,,,,,
51,-20.056971689999997,16,32768,68.2,636,-0.010383243887190474,0.0003,0.2,-1.5843472868204116,4.230240345001221,150,0.060791015625,0.5629483461380005,0.007614287,10.047766318172217,,
54,-17.83117972,17,34816,67.27,637,-0.00837204374547582,0.0003,0.2,-1.5637435600161553,3.5976836681365967,160,0.05146484375,0.7211803197860718,0.007567974,10.022034123539925,,
57,-18.06463458,18,36864,66.72,639,-0.010111548339773435,0.0003,0.2,-1.5661676049232482,5.385218143463135,170,0.07841796875,0.6990251541137695,0.009064516,11.02475368976593,,
60,-17.48201554,19,38912,66.72,639,-0.008193174972257111,0.0003,0.2,-1.5339413348585367,3.645551919937134,180,0.04755859375,0.726747989654541,0.0077543184,10.465471217781305,,
,,,40000,,,-0.00765485231531784,0.0003,0.2,-1.493933540955186,4.525106906890869,190,0.083984375,0.8154798746109009,0.009213569,7.842916502058506,-17.399252510070802,68.4
64,-17.81483728,20,40960,68.29,635,,,,,,,,,,,,
67,-17.162045570000004,21,43008,68.2,636,-0.010960107820574194,0.0003,0.2,-1.5095609620213508,2.6526060104370117,200,0.105859375,0.6836833953857422,0.0104248235,8.88202006444335,,
70,-16.713351770000003,22,45056,68.14,637,-0.009939099088660442,0.0003,0.2,-1.4761073738336563,2.345318078994751,210,0.07421875,0.7209739685058594,0.009432042,7.144396418333054,,
73,-16.75421407,23,47104,66.84,638,-0.008743626131035853,0.0003,0.2,-1.4623979084193706,1.724923014640808,220,0.0673828125,0.6602463722229004,0.006299192,5.238055165484548,,
76,-15.75272516,24,49152,66.09,640,-0.007619297316705342,0.0003,0.2,-1.4666738264262675,2.055283308029175,230,0.0755859375,0.6832172870635986,0.007538146,4.622045334428549,,
,,,50000,,,-0.008985893195495009,0.0003,0.2,-1.4091311775147914,1.253792643547058,240,0.062109375,0.5839967727661133,0.006691312,5.173213835060596,-6.5937164425849915,62.4
80,-16.49162077,25,51200,66.7,636,,,,,,,,,,,,
83,-16.59900114,26,53248,67.03,637,-0.009086379453947302,0.0003,0.2,-1.424391697719693,1.4385442733764648,250,0.075830078125,0.7380873560905457,0.008179449,6.351463935896755,,
86,-16.763335389999998,27,55296,66.7,638,-0.01005761819324107,0.0003,0.2,-1.4471678782254458,1.6381655931472778,260,0.07373046875,0.7065652012825012,0.009082932,4.957448130100966,,
89,-17.40456493,28,57344,67.38,638,-0.008850982705916976,0.0003,0.2,-1.402803597971797,1.5482630729675293,270,0.072021484375,0.7311351299285889,0.008400371,5.71065131649375,,
93,-17.21749761,29,59392,67.56,637,-0.006830920305219479,0.0003,0.2,-1.4319672860205173,2.022397994995117,280,0.05966796875,0.6921418905258179,0.007190209,6.05064777508378,,
,,,60000,,,-0.009983079657831694,0.0003,0.2,-1.4427121747285128,1.072365641593933,290,0.0841796875,0.7403448820114136,0.009227631,4.966717977821827,-16.995507299900055,71.4
96,-17.072087220000004,30,61440,68.56,635,,,,,,,,,,,,
99,-16.934548740000004,31,63488,67.96,635,-0.010438603286456783,0.0003,0.2,-1.4134644486010075,2.6771225929260254,300,0.077880859375,0.7487530708312988,0.009365156,6.379606015980244,,
103,-17.13161423,32,65536,67.99,636,-0.007916046624814044,0.0003,0.2,-1.4160105217248202,1.5624682903289795,310,0.0607421875,0.8290387988090515,0.0075009014,5.629229539632798,,
106,-15.68158066,33,67584,66.78,636,-0.008407260738749756,0.0003,0.2,-1.4310998793691396,1.507728099822998,320,0.04140625,0.807306706905365,0.005655906,5.538662746548653,,
109,-16.474526490000002,34,69632,67.53,637,-0.010088647156226215,0.0003,0.2,-1.403495953604579,1.312302827835083,330,0.068603515625,0.7959638237953186,0.009439878,6.16274677067995,,
,,,70000,,,-0.007588265897356905,0.0003,0.2,-1.4673998817801475,1.306088924407959,340,0.082763671875,0.7358932495117188,0.008943228,4.043226534128189,-3.70624084174633,66.6
112,-15.103908539999999,35,71680,68.08,634,,,,,,,,,,,,
