time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/value_loss,train/n_updates,train/learning_rate,train/clip_range,train/loss,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,eval/mean_reward,eval/mean_ep_length
2,2048,1,218.0,905,-65.32423466666667,,,,,,,,,,,,
5,4096,2,245.875,816,-68.8431346875,-3.211621541529894,120.64691383689642,10,0.0003,0.2,61.21099090576172,0.010925669,-0.01151462264097063,0.088671875,-0.0005156993865966797,,
7,6144,3,244.44,805,-67.69828315999999,-3.2034412644803525,114.22154337838292,20,0.0003,0.2,54.85926055908203,0.012396634,-0.012895762122934685,0.128662109375,0.30475616455078125,,
10,8192,4,246.9090909090909,800,-67.60535009090908,-3.1924790680408477,101.59752544909716,30,0.0003,0.2,32.101837158203125,0.010207636,-0.011002966803789604,0.070751953125,0.4164047837257385,,
,10000,,,,,-3.1731634855270388,73.42157751396299,40,0.0003,0.2,29.832496643066406,0.010460331,-0.01041307387786219,0.081494140625,0.5834375023841858,-64.34003143310547,255.2
14,10240,5,252.07692307692307,712,-69.62780005128204,,,,,,,,,,,,
17,12288,6,263.0869565217391,719,-70.25753480434781,-3.1572701893746853,100.54789157956839,50,0.0003,0.2,2.6014933586120605,0.0109296935,-0.01257641700140084,0.115869140625,0.5332329273223877,,
19,14336,7,260.22222222222223,729,-71.7502797962963,-3.1509259156882763,68.86489920169114,60,0.0003,0.2,13.742416381835938,0.0091968365,-0.009693396073998883,0.067724609375,0.634758472442627,,
22,16384,8,264.72131147540983,734,-70.22357932786889,-3.1404677376151087,93.57188441120088,70,0.0003,0.2,37.51274871826172,0.014337736,-0.015947411372326314,0.16064453125,0.6413567066192627,,
24,18432,9,270.3529411764706,740,-69.22217102941177,-3.1176691889762878,24.65641594454646,80,0.0003,0.2,5.327913284301758,0.011156598,-0.010078738130323473,0.092578125,0.846776008605957,,
,20000,,,,,-3.0789790242910384,37.40797179080546,90,0.0003,0.2,41.04081344604492,0.0075086257,-0.007857874438923319,0.038720703125,0.7833306193351746,-54.167802810668945,305.4
29,20480,10,279.64383561643837,699,-69.46707732876712,,,,,,,,,,,,
31,22528,11,286.11538461538464,705,-68.05477705128204,-3.0775558561086656,38.55791757330299,100,0.0003,0.2,8.562627792358398,0.010128329,-0.007090902554773492,0.049560546875,0.7759348750114441,,
34,24576,12,295.1463414634146,711,-67.85177721951219,-3.055469150096178,9.248716413974762,110,0.0003,0.2,6.265176773071289,0.012635505,-0.010442771195812384,0.063330078125,0.8541765213012695,,
37,26624,13,303.7241379310345,716,-67.36954610344827,-3.0002104908227922,17.8192010005936,120,0.0003,0.2,7.841131210327148,0.008953593,-0.007470532049774192,0.0390625,0.7760743498802185,,
