time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,train/learning_rate,train/value_loss,train/loss,train/explained_variance,train/n_updates,train/approx_kl,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
1,4,-12.617739238095236,96.38095238095238,472,2048,,,,,,,,,,,,
2,9,-10.69095451162791,94.65116279069767,441,4096,3e-05,18.345985305309295,9.445358276367188,0.08242380619049072,10,0.00046343784,-3.1863991975784303,0.000146484375,-0.00408793989190599,0.1,,
3,14,-11.245910276923079,94.36923076923077,429,6144,3e-05,28.771333289146423,14.430529594421387,0.33450180292129517,20,0.00023523223,-3.2054829359054566,4.8828125e-05,-0.0026006629603216426,0.1,,
4,19,-11.372941488372096,94.36046511627907,423,8192,3e-05,16.49144340157509,2.8772952556610107,0.5484683513641357,30,0.0002446363,-3.227804574370384,0.0001953125,-0.0027663466113153844,0.1,,
,,,,,10000,3e-05,24.94238075017929,6.5038323402404785,0.5195946097373962,40,0.00023056855,-3.1983020663261414,0.0,-0.002535405983508099,0.1,-15.922594141960143,91.6
5,25,-12.246240140000003,94.24,404,10240,,,,,,,,,,,,
6,30,-12.11042913,94.26,405,12288,3e-05,14.018054491281509,9.702962875366211,0.662595808506012,50,0.00024012805,-3.205871361494064,0.0,-0.002737644290027674,0.1,,
7,35,-11.254683540000004,93.45,404,14336,3e-05,12.43516908288002,6.842894554138184,0.6751065254211426,60,0.00013047204,-3.176223835349083,0.0,-0.0018238691423903219,0.1,,
8,40,-10.548524379999998,94.49,403,16384,3e-05,6.7149808526039125,1.589388132095337,0.7197811603546143,70,0.00017155037,-3.1528076589107514,0.0,-0.0021272659840178678,0.1,,
9,45,-10.288866739999998,94.12,404,18432,3e-05,15.641511625051498,3.7183094024658203,0.5949632525444031,80,9.595131e-05,-3.2060344964265823,0.0,-0.001495939918095246,0.1,,
,,,,,20000,3e-05,18.149015045166017,7.911566734313965,0.6712290048599243,90,0.000131993,-3.147276425361633,0.0,-0.0019309518422232941,0.1,3.448410224914551,88.0
10,51,-9.08675153,93.46,397,20480,,,,,,,,,,,,
11,56,-8.13243159,92.85,399,22528,3e-05,9.618985524773597,3.529679298400879,0.6923989653587341,100,0.00017819516,-3.2175892889499664,0.0,-0.002110066695604473,0.1,,
12,61,-7.33935994,92.35,399,24576,3e-05,11.405603122711181,6.286072254180908,0.7727223038673401,110,0.0002910123,-3.2046077221632006,0.0,-0.002694718530983664,0.1,,
13,67,-7.50773226,92.13,396,26624,3e-05,7.962010964751244,2.123114824295044,0.7241443395614624,120,0.00015980031,-3.172349897027016,0.0,-0.0019606002679211088,0.1,,
14,73,-7.65264757,92.51,392,28672,3e-05,14.96410973072052,2.286752939224243,0.7639864683151245,130,0.0002294089,-3.2090071022510527,0.0,-0.002246232586912811,0.1,,
,,,,,30000,3e-05,6.120949709415436,1.5769505500793457,0.7777403593063354,140,0.00047896316,-3.2315733641386033,0.0,-0.0033900816488312557,0.1,5.491835689544677,87.0
15,79,-7.46819693,93.99,385,30720,,,,,,,,,,,,
16,85,-5.89551174,94.6,384,32768,3e-05,21.658673363924027,5.90493106842041,0.7213395237922668,150,0.0001961941,-3.217951038479805,0.0,-0.0019660236401250588,0.1,,
17,90,-4.85387837,95.07,384,34816,3e-05,8.353772050142288,1.6379022598266602,0.7893452644348145,160,0.00033531582,-3.1958416014909745,0.0,-0.00279376704711467,0.1,,
18,95,-3.2403984,94.72,385,36864,3e-05,5.823039346933365,1.3242219686508179,0.8023210763931274,170,0.00024558278,-3.1742453396320345,0.0,-0.0022049083083402364,0.1,,
19,100,-3.1497357800000003,95.17,385,38912,3e-05,6.75176727771759,1.6984387636184692,0.7234761118888855,180,0.00021502533,-3.2014400899410247,0.0,-0.002038881802582182,0.1,,
,,,,,40000,3e-05,9.607172161340714,4.48069953918457,0.7670403718948364,190,0.00030298333,-3.185117247700691,0.0,-0.0024981571797979994,0.1,0.7629186630249023,90.6
20,107,-2.3934273299999993,95.35,382,40960,,,,,,,,,,,,
21,112,-2.848648850000001,96.49,382,43008,3e-05,6.892895695567131,2.364877462387085,0.8104990124702454,200,0.00038153745,-3.203967323899269,0.0,-0.002775324278627522,0.1,,
