time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/clip_fraction,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/value_loss,train/learning_rate,train/clip_range,train/approx_kl,eval/mean_reward,eval/mean_ep_length
2048,1,260,-13.820952750000002,471.0,7,,,,,,,,,,,,
4096,2,181,-12.979567111111113,453.55555555555554,22,0.00048828125,10,-4.564031183719635,-0.005495662556495517,-0.04976761341094971,1.1593213081359863,4.187492083758116,3e-05,0.1,0.00086395536,,
6144,3,139,-9.66567953846154,467.61538461538464,43,0.0,20,-4.563219267129898,-0.0028083568467991427,0.07379037141799927,13.688981056213379,20.463609486818314,3e-05,0.1,0.00024645022,,
8192,4,137,-9.072965117647058,466.94117647058823,59,0.008203125,30,-4.562422853708267,-0.005414379632566124,0.6321970522403717,0.5413709878921509,0.6970046535134315,3e-05,0.1,0.00096408534,,
10000,,,,,,0.005859375,40,-4.56128898859024,-0.004856497925356962,0.6413285136222839,0.06529928743839264,0.40620853947475555,3e-05,0.1,0.001044811,-1.665942907333374,471.0
10240,5,123,-12.361497238095236,472.6666666666667,83,,,,,,,,,,,,
12288,6,124,-10.771300520000002,480.12,98,0.0001953125,50,-4.559745860099793,-0.002200179360806942,0.39365118741989136,2.063178777694702,11.5236542545259,3e-05,0.1,0.00027037942,,
14336,7,120,-11.565606379310346,483.44827586206895,118,0.0,60,-4.559234797954559,-0.002396831347141415,0.6205899119377136,0.8396775126457214,2.123172016441822,3e-05,0.1,0.00029501002,,
16384,8,120,-10.784419,477.6764705882353,135,0.0,70,-4.55799525976181,-0.002609716496226611,0.7874656617641449,2.0033211708068848,2.671168304979801,3e-05,0.1,0.0003002682,,
18432,9,123,-10.04653545,460.65,149,0.000146484375,80,-4.557083946466446,-0.0039591572800418365,0.7910241782665253,0.044059086591005325,0.3980334045365453,3e-05,0.1,0.00056023686,,
20000,,,,,,0.001318359375,90,-4.557350665330887,-0.003834360033215489,0.6797145307064056,1.2079945802688599,5.430467464774847,3e-05,0.1,0.0005962972,-0.8560028791427612,540.8
20480,10,116,-9.85510827906977,475.3255813953488,176,,,,,,,,,,,,
