time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,train/learning_rate,train/value_loss,train/loss,train/explained_variance,train/n_updates,train/approx_kl,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
1,4,-3.6612199090909088,91.18181818181819,496,2048,,,,,,,,,,,,
2,8,-5.086444113636364,92.0,458,4096,3e-05,21.784894275665284,9.17036247253418,-0.0232236385345459,10,0.00046207104,-3.2230943232774734,0.000146484375,-0.0041603062767535445,0.1,,
3,13,-8.086824287878787,91.95454545454545,444,6144,3e-05,26.999713718891144,6.914788246154785,0.343036949634552,20,0.00024403402,-3.1984984040260316,0.000341796875,-0.0026868229499086736,0.1,,
4,18,-10.648748636363637,92.85227272727273,439,8192,3e-05,25.01895147562027,10.615802764892578,0.5234261751174927,30,0.0001512332,-3.2425771921873094,0.0,-0.002013962564524263,0.1,,
,,,,,10000,3e-05,29.37376127243042,12.72050952911377,0.5768324136734009,40,0.00021622938,-3.2133288383483887,0.0,-0.0028378963426803237,0.1,-15.369330787658692,95.8
5,24,-10.37952342,93.81,422,10240,,,,,,,,,,,,
6,29,-13.56108146,94.16,421,12288,3e-05,8.365160974860192,3.2116286754608154,0.6145840883255005,50,0.00020456372,-3.210126394033432,0.0,-0.002349050878547132,0.1,,
7,33,-12.48520946,94.08,425,14336,3e-05,31.064253854751588,10.460923194885254,0.5845252275466919,60,0.00014549051,-3.2361677408218386,0.0,-0.0020015986490761863,0.1,,
8,38,-10.717908399999999,94.05,428,16384,3e-05,7.720876657962799,3.93453049659729,0.6689236164093018,70,0.00019685968,-3.209188610315323,0.0,-0.002369529567658901,0.1,,
9,42,-10.07918348,93.46,431,18432,3e-05,10.80477140545845,3.371302366256714,0.7506105303764343,80,0.00017819915,-3.155795007944107,0.0,-0.002127439159085043,0.1,,
,,,,,20000,3e-05,15.8124418258667,8.483770370483398,0.6832985877990723,90,0.00018046013,-3.2202461659908295,0.0,-0.0023352588585112246,0.1,-3.0878612607717515,97.4
10,48,-7.989458,92.22,425,20480,,,,,,,,,,,,
11,52,-10.359287199999999,92.76,427,22528,3e-05,13.624621778726578,4.139939308166504,0.6543497443199158,100,0.0001212396,-3.1874245434999464,0.0,-0.0017656968455412425,0.1,,
12,57,-9.92572839,92.53,429,24576,3e-05,26.275249016284942,12.511116981506348,0.6256469488143921,110,0.00023481392,-3.2050618886947633,0.0,-0.002275344217196107,0.1,,
13,61,-9.34607558,93.85,430,26624,3e-05,8.465423613786697,2.575979709625244,0.7217293977737427,120,0.00017465677,-3.194536516070366,0.0,-0.002203445031773299,0.1,,
14,66,-10.32788,94.57,431,28672,3e-05,10.554287779331208,2.952291488647461,0.7246419191360474,130,0.00013340035,-3.1903222680091856,0.0,-0.0015623295985278673,0.1,,
,,,,,30000,3e-05,11.801823365688325,5.5530619621276855,0.7801339626312256,140,0.00023059122,-3.2079915583133696,0.0,-0.002633047179551795,0.1,-9.070437335968018,94.8
15,71,-8.71099838,95.4,427,30720,,,,,,,,,,,,
16,76,-6.20767694,94.89,428,32768,3e-05,7.201686936616897,2.2111902236938477,0.8347488045692444,150,0.00021859581,-3.219734674692154,0.0,-0.0025569983583409337,0.1,,
17,81,-5.828059859999999,94.19,429,34816,3e-05,11.292252469062806,2.1512699127197266,0.8026461005210876,160,0.00019984189,-3.199025663733482,0.0,-0.0021696330833947284,0.1,,
18,85,-5.261863860000001,93.4,430,36864,3e-05,11.080145394802093,4.8487701416015625,0.7913190722465515,170,0.0001879181,-3.17952122092247,0.0,-0.002193138729489874,0.1,,
19,90,-4.305112029999999,92.94,431,38912,3e-05,8.06337350308895,3.0011157989501953,0.7544599175453186,180,0.00020426197,-3.17854423224926,0.0,-0.0020847842359216886,0.1,,
,,,,,40000,3e-05,12.029050579667091,5.6364922523498535,0.7235065698623657,190,0.00018075906,-3.187259593605995,0.0,-0.0019959431781899186,0.1,9.883662012219428,88.4
20,95,-2.7194457700000005,92.54,429,40960,,,,,,,,,,,,
21,99,-2.5455689599999998,91.55,430,43008,3e-05,6.716108463704586,0.9306658506393433,0.8105668425559998,200,0.00024986916,-3.210912969708443,0.0,-0.002383731983718462,0.1,,
22,104,-2.66043817,92.66,430,45056,3e-05,8.092106759548187,2.35917329788208,0.8506063222885132,210,0.00045294393,-3.1903097212314604,0.00087890625,-0.0038599268795223908,0.1,,
23,109,-1.9410400900000002,92.79,431,47104,3e-05,9.055508318543435,3.893564224243164,0.7825510501861572,220,0.00029275424,-3.183204409480095,0.0,-0.0026876332180108876,0.1,,
