time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/clip_fraction,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/value_loss,train/learning_rate,train/clip_range,train/approx_kl,eval/mean_reward,eval/mean_ep_length
2048,1,523,-3.1059059999999996,467.5,3,,,,,,,,,,,,
4096,2,470,-4.333339625000001,456.875,8,0.000439453125,10,-4.564102572202683,-0.004615658344118856,0.009857416152954102,0.4111861288547516,1.0584446674212813,3e-05,0.1,0.0007352755,,
6144,3,457,-2.6392478333333336,497.4166666666667,13,0.0,20,-4.563098126649857,-0.0024090261460514737,0.2194204330444336,0.9022796750068665,3.1805463545024395,3e-05,0.1,0.0003426199,,
8192,4,452,-4.0036569375,485.5625,18,0.004638671875,30,-4.562335497140884,-0.0030952560424339025,0.26009100675582886,1.058516502380371,1.632430411875248,3e-05,0.1,0.00055666565,,
10000,,,,,,0.002490234375,40,-4.561428052186966,-0.003254090080736205,0.6413175463676453,0.4139779806137085,1.860458754003048,3e-05,0.1,0.0005487988,-12.208404159545898,449.4
10240,5,376,-6.683685349999999,488.6,27,,,,,,,,,,,,
12288,6,383,-8.2012804,483.64,32,0.000341796875,50,-4.560637503862381,-0.0021183176344493405,0.5372845828533173,3.6942458152770996,6.472672149538994,3e-05,0.1,0.00033656202,,
14336,7,385,-8.998378,478.7931034482759,37,0.0,60,-4.560123217105866,-0.001466208517376799,0.5906009078025818,0.935340166091919,2.813171999156475,3e-05,0.1,0.00014203682,,
16384,8,388,-9.37112688235294,478.52941176470586,42,0.0,70,-4.559528535604477,-0.002010976348537952,0.7391866743564606,0.8937329053878784,3.369651736319065,3e-05,0.1,0.00025924956,,
18432,9,389,-9.636729820512818,472.2564102564103,47,0.000830078125,80,-4.55880491733551,-0.002794182892830577,0.6392984390258789,0.14349113404750824,3.958092551678419,3e-05,0.1,0.0003598124,,
20000,,,,,,0.0,90,-4.557426702976227,-0.002424886339576915,0.868936151266098,0.6587536334991455,1.6627987932413817,3e-05,0.1,0.0003175037,-10.16425380706787,485.4
20480,10,362,-9.154099209302325,475.25581395348837,56,,,,,,,,,,,,
